UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,UMAP11,UMAP12,UMAP13,UMAP14,UMAP15,UMAP16,UMAP17,UMAP18,UMAP19,UMAP20,Spectral_Cluster
12.914548,9.680109,4.0336304,6.5386095,4.62,5.7401004,5.083371,5.9501815,4.848547,4.6986094,6.638139,5.039044,4.621165,5.8289695,1.8725026,1.8678316,4.608373,4.164489,0.8605785,2.788628,0
12.675317,6.4955873,4.3653865,5.4090657,5.195186,4.6863585,5.0118694,5.283558,3.7604847,4.889564,6.205009,5.4385686,4.8402553,5.4353595,2.4390864,2.5232425,5.0664296,5.112916,2.6424503,3.1502345,4
12.939687,10.647444,4.326736,6.508725,4.909606,5.2667584,5.1983466,5.1312394,3.7325945,4.9602094,6.5912194,4.780551,4.6186357,5.539795,1.9990275,1.9243145,4.7441115,4.061879,1.4175869,3.1427495,3
12.750613,11.000455,4.2780313,6.8105226,4.804087,5.5677385,5.2342153,4.8480844,3.7432494,5.058469,6.7256174,4.1763663,4.4994287,5.899666,2.068465,1.8675771,4.84368,4.058539,1.2672846,3.5750709,3
-4.659553,4.3283725,3.2691576,1.9479908,5.643056,5.2164354,3.2354288,5.8617077,5.4040184,3.958541,8.045091,1.7042476,7.471144,8.503169,5.4676466,4.206817,3.650751,2.0492437,4.425488,4.949642,2
13.057477,10.752593,4.2847943,6.3276772,4.32779,6.043559,5.5258713,5.970045,4.9432144,4.629906,6.162729,4.807692,5.2538133,6.1558466,1.9018291,1.9720411,4.315775,3.5596116,1.1824913,2.425184,0
-4.6625204,4.2834005,3.1938446,2.119478,5.5316753,5.2926135,3.2471678,5.7201815,5.415501,4.107683,7.884497,1.6771003,7.4615636,8.449853,5.559907,4.2009573,3.5715525,2.1181822,4.4840817,4.9965267,2
12.827611,11.200109,4.391122,6.7651606,5.0676093,5.2807627,5.0830884,4.697752,3.4643114,5.106993,6.8010893,4.292501,4.308142,5.672196,2.111011,1.8920932,4.910586,4.180661,1.4037467,3.7203608,3
12.74274,7.894307,4.41617,5.5025015,5.0667133,5.083038,5.055737,5.435483,4.2075787,4.886494,6.3363075,5.110913,4.9283013,5.6273313,2.5284307,2.5879543,4.9141617,4.807916,2.5207307,3.3535473,4
12.8295,10.455696,4.2934537,6.4068236,4.9223413,5.444635,5.095697,5.231753,4.089615,4.9731402,6.769189,4.6160836,4.5916753,5.634795,2.2098227,2.1044934,4.802568,4.2190685,1.5486913,3.4746857,3
13.101879,10.718944,4.320093,6.7024684,4.7139893,5.4595866,5.283316,5.3981857,4.0430474,4.777391,6.2581615,4.8721933,4.6611123,5.9128404,1.6911798,1.6591848,4.5480785,3.888916,0.9269585,2.6704829,3
12.682251,7.338764,4.317081,5.5657096,5.0383005,5.093776,5.0169797,5.4762926,4.2628555,4.872424,6.359158,5.1500497,4.8401833,5.6658745,2.4731414,2.5238967,4.9734173,4.9381733,2.3902986,3.325524,4
12.840045,10.449448,4.2821465,6.7749143,5.0595813,5.0512257,5.1077394,4.739292,3.2075422,5.0741825,6.7298026,4.655618,4.299702,5.45414,1.9273789,1.7604849,4.938147,4.240012,1.294382,3.3470201,3
12.980342,10.29827,4.2641335,6.6648097,4.5926304,5.486084,5.4459863,5.2760305,3.8720605,4.826308,6.1956806,4.79136,4.832062,5.9351344,1.710561,1.6854014,4.6001825,3.8589134,1.0713253,2.6060076,3
12.8975115,10.717744,4.528467,6.723482,5.1503906,4.770484,5.2883,4.240835,2.5020194,5.1588936,6.363739,4.520834,4.4129524,5.5235243,1.892625,1.7216718,4.9587755,4.148087,1.6320748,3.3056185,3
12.893397,10.73697,4.2269716,6.5281506,4.465423,6.001775,5.3698306,5.6415854,4.7443724,4.7809415,6.440075,4.4822516,4.935429,6.174343,2.0103629,1.9646635,4.5271387,3.8296041,1.1395814,2.990292,0
12.722521,7.137972,4.3495173,5.5119295,5.0957046,4.9086456,5.0355954,5.4225492,4.03217,4.8604226,6.2581654,5.327437,4.8653135,5.5425487,2.412871,2.4905136,4.9740734,4.9444485,2.462157,3.1524408,4
12.670513,6.53128,4.3700314,5.396037,5.1778545,4.7217035,5.019331,5.2907104,3.7995849,4.893452,6.2004337,5.4007707,4.858342,5.4724865,2.4592588,2.5402462,5.06106,5.103846,2.677242,3.176706,4
13.034415,10.250339,4.2786865,6.394257,4.406846,5.8124046,5.5125422,5.755415,4.5767674,4.6748295,6.067743,4.870755,5.1326337,6.139707,1.8027787,1.8675948,4.4189367,3.7420301,1.160268,2.4201298,0
