UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,UMAP11,UMAP12,UMAP13,UMAP14,UMAP15,UMAP16,UMAP17,UMAP18,UMAP19,UMAP20
-3.6802647,5.7306137,4.9843965,6.2724347,4.261133,3.0306125,-0.5638903,5.3235292,7.016528,4.862311,6.4356065,2.5213385,8.255717,7.8522696,5.992248,4.3915496,3.833268,3.3676853,4.900897,5.434408
12.603495,12.077013,4.9790325,3.3613567,5.895905,5.73331,5.9292965,6.5248547,2.4840653,3.3548284,7.1386857,4.096475,3.5150056,2.7555933,3.169884,3.4061184,6.4663105,4.9695845,-0.20553176,1.6894537
12.5498295,10.07568,4.980686,3.2830572,5.849085,5.264925,5.9514155,6.0384154,2.28117,3.6532207,6.706383,4.5927258,3.697527,3.2721238,2.9616566,3.140826,6.393474,5.4131994,0.8431743,2.0349429
-3.708381,5.654481,4.9854317,6.41367,4.154487,3.206547,-0.6734093,5.8527155,7.319088,4.824919,6.750364,2.830815,7.9970946,8.574981,6.0642157,4.627601,3.1714668,3.438688,4.5707498,5.8829226
-4.0882683,5.734008,5.0005784,6.255343,4.2067423,3.236819,-0.7783005,5.7374625,7.254143,4.799446,6.841377,2.697185,8.137518,8.464175,6.053229,4.5513783,3.187998,3.3376453,4.6001105,5.973615
12.85288,12.299491,5.0228114,3.208747,5.6024065,6.071985,5.767027,6.734116,4.060304,3.6250618,7.0876293,4.1065564,4.284773,3.48948,3.5088534,3.693266,5.8148894,4.5382156,0.89216346,2.304583
12.729885,12.357709,4.9907346,3.3533406,5.813663,5.4461927,6.1440783,6.0341544,1.7973655,3.6301553,6.9222426,3.9690146,3.6415732,2.5995874,3.0025704,3.058222,6.628179,4.711866,-0.034031752,1.75474
-3.2168286,5.427547,5.024867,6.5448585,4.148286,3.2758417,-0.19663091,5.7995806,7.0556917,4.8478565,6.730926,2.994116,7.863804,8.538586,5.8287396,4.633209,3.2349765,3.4064157,4.6590343,5.7261662
12.499949,10.166555,4.9600186,3.3463979,5.8749948,5.3138185,5.9280605,6.089,2.2402842,3.579473,6.7751436,4.5320826,3.6029584,3.2253604,2.9611392,3.1724374,6.431276,5.431335,0.6533319,1.9689173
12.79454,12.435023,4.98281,3.382339,5.74677,5.4711013,6.108435,5.912712,1.9367056,3.7059233,6.9280896,3.907387,3.8030865,2.7570655,3.0309207,3.0804477,6.5482397,4.551148,0.25913224,1.9487007
12.690365,12.953535,5.034657,3.5251353,5.435886,5.1079097,6.6466517,6.001919,2.1547847,4.363446,5.9872255,3.714405,3.8931382,2.8568277,2.4394279,1.9691373,6.303724,4.4340706,-0.513969,1.2651043
-3.7467394,5.775042,4.9925666,6.2588573,4.2668133,3.0134966,-0.59632826,5.293104,7.009939,4.856684,6.4525886,2.5050795,8.3196945,7.8262773,5.980948,4.3765836,3.8578827,3.3338525,4.907462,5.4144616
12.57679,12.32704,5.049186,3.32702,5.8466086,5.783514,6.004739,6.9530096,3.078114,3.3973873,6.9310627,4.113532,3.443505,2.8229728,2.9853945,3.1605923,6.252179,5.0435085,-0.7148815,1.2668406
13.00812,13.292637,4.9966116,3.3910146,5.7604,5.448083,6.1073756,5.5294967,1.5539167,3.7225084,7.1070886,3.7027776,3.8938203,2.5345755,3.0191152,3.0781968,6.6896744,4.0782065,0.47855544,2.134833
13.043283,12.964898,5.099986,3.066622,5.9283004,5.282822,6.2121787,5.7154317,1.259292,3.6211212,7.032992,4.056726,3.6799388,2.1563056,2.9733975,3.031106,6.8452864,4.430363,0.24918558,1.8024907
12.902412,13.366218,4.868403,3.6761723,5.8019757,5.262025,6.126515,4.9850707,0.5935162,3.7039077,7.205165,3.4239643,3.6658046,2.35753,2.8172674,2.89373,7.0270324,3.9523425,0.28521177,2.1707997
12.7004795,12.532499,5.0891438,3.1890957,5.9058547,5.7884455,5.9874883,6.907988,2.9911392,3.339356,7.0424666,4.159688,3.4655733,2.6678886,3.0524116,3.2687576,6.316096,4.9671054,-0.5808965,1.3216605
12.959984,12.579449,5.098591,3.106764,5.7109323,5.4982347,6.146385,6.167797,2.500028,3.7872517,6.802231,4.098653,3.9863482,2.7987938,3.0571866,3.0576105,6.3395896,4.5243754,0.43440118,1.8797477
12.820622,12.486125,4.945351,3.449286,5.7901535,5.4051876,6.0859613,5.6021156,1.4710679,3.6768034,7.048361,3.8286595,3.7711933,2.6542861,3.0346777,3.119347,6.7171946,4.4394765,0.4147427,2.1050768
-3.739409,5.7809505,4.9950457,6.254078,4.261889,2.9959788,-0.6223987,5.312195,7.0363197,4.862416,6.443011,2.4859443,8.301053,7.8252764,6.012797,4.383043,3.8584032,3.347463,4.888592,5.4369626
12.961172,13.1491585,5.0152774,3.3404014,5.838178,5.40153,6.130648,5.633939,1.4246403,3.6406567,7.0977006,3.7968707,3.7249298,2.3980842,2.960347,3.0422704,6.763417,4.2567124,0.23228168,1.939516
12.649992,12.174102,5.116225,3.1056013,5.793463,5.731607,6.1093187,7.086303,3.2662838,3.5319586,6.7463117,4.296266,3.6175501,2.8208983,3.0627656,3.1260624,6.156981,5.116066,-0.5439414,1.2583102
12.750392,12.246966,5.187243,2.9017181,5.8085165,5.772719,6.116464,7.268404,3.5290182,3.5217867,6.7404156,4.444744,3.7008789,2.7650185,3.1466093,3.2074795,6.0812807,5.133382,-0.4429535,1.2333483
12.790941,12.999594,5.0128875,3.4066496,5.68389,5.3736253,6.3183794,5.965517,1.8435873,3.8650553,6.6946654,3.7733731,3.7528994,2.585531,2.839101,2.7181292,6.5508013,4.422258,-0.22022378,1.6148188
12.694781,10.548559,5.069457,3.0502963,5.9106455,5.2024865,6.0736814,6.0995693,2.0587928,3.6459563,6.6946926,4.6575236,3.6622314,2.8967535,2.9570446,3.0750308,6.5081434,5.3392596,0.6535402,1.8411857
